title,count
Astrophysical Journal,1249
New England Journal of Medicine,774
Nature,770
Proceedings of the National Academy of Sciences of the United States of America,712
Science,700
PLoS ONE,672
Monthly Notices of the Royal Astronomical Society,660
Astronomy and Astrophysics,482
Physical Review Letters,413
The Lancet,366
Circulation,334
Cell,314
Journal of Biological Chemistry,312
Journal of the American Chemical Society,286
Astronomical Journal,270
JAMA - Journal of the American Medical Association,266
Journal of the American College of Cardiology,265
Clinical Infectious Diseases,221
Journal of High Energy Physics,212
Nature Communications,211
Pediatrics,202
Journal of Clinical Oncology,193
Journal of Neuroscience,192
Nature Genetics,191
Neurology,191
Annals of Internal Medicine,190
Scientific Reports,187
Nucleic Acids Research,185
"Physical Review D - Particles, Fields, Gravitation and Cosmology",183
Astrophysical Journal Letters,182
Journal of the American Medical Association,174
NeuroImage,170
Blood,167
American Journal of Epidemiology,162
Cancer Research,159
American Journal of Public Health,158
Physical Review B - Condensed Matter and Materials Physics,156
Clinical Cancer Research,150
Lancet,149
Journal of Chemical Physics,143
Journal of Virology,138
Journal of the American Geriatrics Society,138
"Astrophysical Journal, Supplement Series",137
ApJ,135
Journal of Acquired Immune Deficiency Syndromes,134
Magnetic Resonance in Medicine,131
Journal of Infectious Diseases,130
MNRAS,129
Angewandte Chemie - International Edition,124
Stroke,123
Ophthalmology,123
Journal of Immunology,122
Bioinformatics,121
Nature Medicine,120
American Journal of Respiratory and Critical Care Medicine,119
Neuron,118
Journal of Clinical Investigation,115
PLoS Medicine,114
Critical Care Medicine,114
Icarus,113
Journal of Fluid Mechanics,109
Social Science and Medicine,108
Journal of the American Society of Nephrology,107
Archives of Internal Medicine,106
Diabetes Care,105
Environmental Science and Technology,104
AIDS,104
Radiology,104
Chest,103
American Journal of Neuroradiology,101
Investigative Ophthalmology and Visual Science,101
Acta Materialia,99
American Journal of Kidney Diseases,98
Biomaterials,98
Physics in Medicine and Biology,98
Kidney International,97
Journals of Gerontology - Series A Biological Sciences and Medical Sciences,96
Nano Letters,95
American Journal of Transplantation,95
Nature Neuroscience,95
Medical Physics,94
Spine,94
A&A,94
Advanced Materials,93
Annals of Neurology,92
International Journal of Epidemiology,92
Journal of Allergy and Clinical Immunology,92
Health Affairs,90
Publications of the Astronomical Society of the Pacific,89
Journal of General Internal Medicine,89
Nature Methods,89
Physical Review D,89
Biochemistry,88
"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",85
Physical Review B,84
Cancer,84
British Medical Journal,83
Brain,82
Nature Materials,82
Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),81
Epidemiology,81
ACS Nano,80
Nature Reviews Cancer,80
Journal of Clinical Epidemiology,80
Journal of Cell Biology,79
American Journal of Ophthalmology,79
Journal of the American Statistical Association,79
American Journal of Clinical Nutrition,78
Environmental Health Perspectives,78
Hepatology,78
International Journal of Radiation Oncology Biology Physics,78
American Journal of Human Genetics,78
Molecular Cell,78
Oncogene,78
Laryngoscope,77
BMJ (Online),77
Gastroenterology,77
Chemical Reviews,76
Oncotarget,76
Journal of Experimental Medicine,75
Journal of Nuclear Medicine,75
American Journal of Preventive Medicine,74
Applied Physics Letters,73
BMC Public Health,73
Science Translational Medicine,72
American Journal of Psychiatry,71
The Journal of Chemical Physics,70
Biophysical Journal,70
Journal of Clinical Microbiology,69
AIDS and Behavior,69
Genes and Development,69
Journal of Urology,68
Archives of General Psychiatry,68
Nature Biotechnology,68
Journal of Molecular Biology,67
IEEE Transactions on Medical Imaging,66
Journal of Neurosurgery,66
Journal of Cosmology and Astroparticle Physics,66
PLoS Pathogens,66
Biometrics,66
European Urology,66
Langmuir,65
Journal of Neurophysiology,64
JAMA Internal Medicine,63
Antimicrobial Agents and Chemotherapy,63
Circulation Research,63
Chemical Communications,62
Medical Care,62
American Journal of Cardiology,62
Geophysical Research Letters,62
Neurosurgery,61
PLoS Genetics,61
EMBO Journal,60
Sleep Medicine,60
American Journal of Obstetrics and Gynecology,60
Human Molecular Genetics,60
Annals of Thoracic Surgery,60
European Heart Journal,60
Proceedings of SPIE - The International Society for Optical Engineering,59
Journal of the American Academy of Child and Adolescent Psychiatry,59
Cochrane Database of Systematic Reviews,59
Academic Emergency Medicine,58
American Economic Review,58
Journal of Instrumentation,57
Immunity,57
Biological Psychiatry,57
Archives of Ophthalmology,56
Drug and Alcohol Dependence,56
Sleep,56
Journal of Applied Physics,55
Infection and Immunity,55
Journal of Magnetic Resonance Imaging,55
Nature Reviews Neuroscience,54
The Lancet Oncology,54
Clinical Chemistry,54
Hypertension,54
Statistics in Medicine,54
Preventive Medicine,54
Tobacco Control,54
European Physical Journal C,54
Journal of the Mechanics and Physics of Solids,53
Vaccine,53
Cancer Cell,53
Morbidity and Mortality Weekly Report,52
Nephrology Dialysis Transplantation,51
Resuscitation,50
Obstetrics and Gynecology,50
International Journal of Obesity,50
Physics of Fluids,49
Malaria Journal,49
Annals of Surgery,49
Nature Nanotechnology,49
Journal of Adolescent Health,49
Cell Reports,49
Journal of Physical Chemistry B,49
European Respiratory Journal,49
Annals of Emergency Medicine,48
Nature Reviews Immunology,48
Genome Research,48
Nature Reviews Genetics,48
Biometrika,47
Virology,47
Annual Review of Astronomy and Astrophysics,47
Econometrica,47
eLife,46
The Lancet Neurology,46
Journal of Physical Chemistry C,46
Nature Immunology,46
Journal of Pediatrics,46
American Journal of Tropical Medicine and Hygiene,46
Annals of the New York Academy of Sciences,46
Molecular and Cellular Biology,46
"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",46
Biochemical and Biophysical Research Communications,46
Journal of Clinical Endocrinology and Metabolism,46
American Journal of Physiology - Heart and Circulatory Physiology,46
Journal of Thoracic and Cardiovascular Surgery,45
Journal of Consulting and Clinical Psychology,45
Nature Reviews Molecular Cell Biology,45
American Journal of Roentgenology,45
Anesthesiology,45
Neuroscience,45
Journal of the American College of Surgeons,45
Cancer Epidemiology Biomarkers and Prevention,44
Current Biology,44
Academic Medicine,44
Geochimica et Cosmochimica Acta,44
Journal of Bone and Joint Surgery - Series A,44
Epilepsia,44
Psychiatric Services,43
Journal of Cerebral Blood Flow and Metabolism,43
Developmental Cell,43
Biotechnology and Bioengineering,43
Nature Cell Biology,43
Diabetologia,43
International Journal of Cardiology,43
Diabetes,42
Journal of Neurotrauma,42
Plastic and Reconstructive Surgery,42
Journal of Computational Physics,42
Journal of Cardiovascular Magnetic Resonance,41
Journal of the National Cancer Institute,41
Journal of Cell Science,41
AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV,41
Transplantation,41
Pain,41
Sexually Transmitted Infections,41
PLoS Neglected Tropical Diseases,41
Annals of the Rheumatic Diseases,41
Sexually Transmitted Diseases,41
Chemical Society Reviews,40
Water Research,40
JAMA: The Journal of the American Medical Association,40
Clinical Journal of the American Society of Nephrology,40
Analytical Chemistry,40
Atherosclerosis,40
Nature Protocols,40
Inorganic Chemistry,40
Macromolecules,39
BMC Bioinformatics,39
Thorax,39
Thin-Walled Structures,39
Psychological Bulletin,39
Addiction,39
International Journal of Cancer,39
Psychological Science,39
Psychological Medicine,38
Cochrane database of systematic reviews (Online),38
American Heart Journal,38
Journal of Controlled Release,38
Journal of Vascular Surgery,38
American Journal of Surgical Pathology,38
FASEB Journal,38
Molecular Biology of the Cell,38
Genome Biology,38
Archives of Neurology,38
Journal of Affective Disorders,38
American Journal of Sports Medicine,38
International Journal of Solids and Structures,38
Nature Structural and Molecular Biology,37
Journal of Applied Physiology,37
Journal of Climate,37
Applied and Environmental Microbiology,37
Journal of Nutrition,37
JACC: Cardiovascular Imaging,37
Journal of Physiology,37
"Arteriosclerosis, Thrombosis, and Vascular Biology",36
Optics Express,36
